subj_idx,sot,duration,button,response,rt,stim_col,condition,trial
110174,99250.2134945352,1,99797.8728933045,1,0.547659398769276,1,Neutral,27
110174,101034.198131022,1,101525.620422977,0,0.491422291955299,0,Neutral,28
110174,102818.181383241,1,103783.40782563,1,0.965226442389292,1,Neutral,29
110174,106336.114529479,1,107000.643586464,1,0.664529056985077,1,Neutral,30
110174,111604.652270996,1,112399.162892791,1,0.794510621795402,1,Angry,31
110174,113388.718780566,1,114074.310303655,1,0.685591523088879,1,Angry,32
110174,115172.638649362,1,115666.977528054,0,0.49433887869207,0,Angry,33
110174,120424.52970945,1,120934.289309919,0,0.509759600468926,0,Angry,34
110174,123942.466157878,1,124486.724266717,0,0.544258108838854,0,Angry,35
110174,127460.370119638,1,128024.668344207,1,0.564298224569458,1,Angry,36
110174,134462.982147805,1,135102.735609658,1,0.639753461852728,1,Neutral,37
110174,136246.909522513,1,136850.587993938,0,0.603678471424559,0,Neutral,38
110174,137998.24942707,1,138608.068634323,0,0.609819207253284,0,Neutral,39
110174,143266.112779705,1,143889.832486668,0,0.623719706963166,0,Neutral,40
110174,146767.384070859,1,147281.099754881,1,0.513715684022318,1,Neutral,41
110174,150268.716128867,1,151021.708071933,1,0.752991943066212,1,Neutral,42
110174,155520.587091223,1,156019.209909729,0,0.498622818505857,0,Angry,43
110174,160772.427183665,1,161310.710307602,1,0.538283123936737,1,Angry,44
110174,162556.426787371,1,163183.633071637,1,0.627206284266227,1,Angry,45
110174,164340.387980912,1,164919.62174488,0,0.57923376396799,0,Angry,46
110174,167841.825295346,1,168392.768340655,1,0.550943045309396,1,Angry,47
110174,169608.940277564,1,170142.809181478,0,0.533868903914408,0,Angry,48
110174,180112.745587278,1,180765.974897276,1,0.653229309997754,1,Angry,49
110174,181880.014698023,1,182528.411448725,0,0.648396750701591,1,Angry,50
110174,183664.032249444,1,184639.366395102,0,0.975334145657951,0,Angry,51
110174,187182.015607842,1,187820.296586894,0,0.638280979052448,0,Angry,52
110174,188949.277406087,1,189586.820902951,0,0.637543496863975,0,Angry,53
110174,192450.525491914,1,193125.495796674,1,0.674970304759889,1,Angry,54
110174,199469.787571197,1,200190.255092028,1,0.720467520831124,1,Neutral,55
110174,201253.678194334,1,201817.752138766,0,0.564073944431933,0,Neutral,56
110174,203005.041922344,1,204326.539422216,0,1.32149749987171,1,Neutral,57
110174,206522.263599727,1,207223.792809467,0,0.701529209739994,0,Neutral,58
110174,210040.197917086,1,210610.184087437,1,0.569986170351331,1,Neutral,59
110174,215308.846351447,1,215839.580393689,0,0.53073404224246,0,Neutral,60
110174,217076.056985084,1,217651.463557887,1,0.575406572803302,1,Angry,61
110174,218843.4274201,1,219679.421787509,1,0.835994367409119,1,Angry,62
110174,225846.104025309,1,226434.820436792,0,0.588716411483067,0,Angry,63
110174,227613.296551765,1,228196.704901972,0,0.583408350207406,1,Angry,64
110174,231114.539627467,1,231708.793645869,0,0.59425401840164,0,Angry,65
110174,236366.354807833,1,236962.727759555,0,0.596372951722326,0,Angry,66
110174,238133.660874611,1,238817.664362712,1,0.684003488101298,1,Angry,67
110174,239900.964103779,1,240664.254875724,1,0.763290771945176,1,Angry,68
110174,243402.241903397,1,243966.833165579,0,0.564591262181901,0,Angry,69
110174,250404.886134827,1,250921.154490876,0,0.516268356049201,0,Angry,70
110174,252172.056199994,1,252811.205370105,1,0.639149170110555,1,Angry,71
110174,257423.98844036,1,258014.117693519,0,0.590129253158724,0,Angry,72
110174,260925.257869641,1,261569.821372663,1,0.644563503021549,1,Neutral,73
110174,262692.568153165,1,263304.014396065,0,0.611446242900041,0,Neutral,74
110174,264444.032171685,1,265415.06734163,0,0.971035169944807,0,Neutral,75
110174,267944.427650614,1,268545.467913573,0,0.60104026295949,0,Neutral,76
110174,269712.004958417,1,270357.166778766,0,0.645161820349167,0,Neutral,77
110174,276714.317544317,1,277298.667052699,0,0.584349508381798,0,Neutral,78
110174,280215.553704208,1,280740.997364484,0,0.525443660276185,0,Angry,79
110174,281982.874494271,1,282743.714623027,0,0.760840128756245,0,Angry,80
110174,288968.967212953,1,289476.550405965,0,0.507583193011931,0,Angry,81
110174,290736.007483412,1,291300.420174306,0,0.564412690894329,0,Angry,82
110174,297738.54025467,1,298253.72568414,0,0.515185429470264,0,Angry,83
110174,299489.907994174,1,300003.653251469,0,0.513745257295319,0,Angry,84
