,v_angry,v_neutral,t,a
221107,3.115154560585749,3.266468908587912,0.4857874198277121,1.2801373895332833
221220,2.0757218829682262,2.5776798419473907,0.4830548806421422,1.3806851547907155
221336,2.2252181398318838,2.599665957474353,0.46396294933833265,1.3930356879062102
221511,2.1647927392773103,2.4815531052474524,0.42654749446122797,1.3681739586411974
221585,2.503728828700149,2.573685477125657,0.46138230763798505,1.518951096876092
221954,2.1232512886631456,2.3377076354352417,0.46282829399529435,1.2545613947977867
222185,2.043886935155002,2.6064015174198003,0.5237685598992838,1.3207543763046072
222304,2.8300767578132415,3.1130168739903628,0.5430369431751969,1.4480703321819757
222496,2.382949275533283,2.300614021399663,0.5149252990330104,1.209337072260389
222652,2.2609978302486033,2.6933066812266504,0.4328622768814689,1.2279191917468406
310463,1.8786893944696683,2.188944670506622,0.406009262158532,1.3106035958401057
320022,2.367172281958056,2.743029993507118,0.4189226567182773,1.1565128668532119
320202,2.08728734299967,1.9968374861563496,0.48026398102731366,1.3266099570506622
320206,1.816708580552104,2.408959054472323,0.4572474859935468,1.443416134873397
320218,1.7311357972567527,2.347873695434901,0.49368868854579256,1.4557011650227643
320379,2.6543800579416295,2.6999159078561323,0.46391352662970836,1.4102515589581786
320429,2.2923732633960974,2.4689100773745087,0.461042002441497,1.4194576546750755
320478,2.132428792706964,2.4285620893059026,0.4334738115747895,1.377800259400662
320576,1.5686178857278616,1.8678876305033438,0.4339121672794196,1.3555590005388733
320608,1.7035081755257084,2.2652160224372686,0.5856549655776366,1.2908318882171996
320687,2.063291415371356,2.8645407355653716,0.4275996575600501,1.287236362719228
320759,2.6386946519044505,2.6591682548233346,0.5153488737575581,1.3225744736254332
320870,1.7171266718119735,2.6785043653663574,0.6264716186647677,1.3123514290774114
320904,2.2132830754419746,2.342016076466802,0.4653965987610548,1.422820460538986
321025,1.8286757986745052,1.7734297356504802,0.516773623970224,1.2127326809952117
321069,2.53637531402533,2.6829382019683488,0.4242677567605426,1.2370407385168294
321203,2.1438043506930216,2.74374646132788,0.4502483130357364,1.1383506226623896
321281,1.5821122335943039,2.033294543316222,0.5471441991217263,1.3947059192234454
321431,2.52198281428572,2.694593075256984,0.47252220403783873,1.4913359007253317
321557,2.541737663815234,2.9968206688608046,0.4263316346193264,1.113874881917409
321595,2.484781788828675,2.0973157641731497,0.5479877362647881,1.7788146876702435
321976,2.3227623820131154,2.2468433886604515,0.425153047458153,1.4098044584219658
410084,1.6780367041798911,2.2969079547497024,0.4939424753913935,1.214141778631508
410086,1.5761256121399425,2.0938315948192057,0.5038637911328224,1.4125896155567923
410179,2.8764498498004634,3.1713307611882784,0.5982971571875988,1.348510479552624
410284,2.432684522662092,2.5827793450887153,0.4701514112048028,1.2275157387547222
410390,1.9937759996337487,2.1332821926848564,0.4857788646310846,1.470172712658729
412021,2.4650904029443943,2.2251935833466545,0.47848794249159143,1.3731092049753246
420004,1.8711661855208448,2.128372940416325,0.5300204885547191,1.4466036003144351
420089,2.2744074822336047,2.5739331613395136,0.5619984718953699,1.3417196606133928
420100,1.9222471724665366,2.2712977212066763,0.5332728372392898,1.2116666388595447
420149,2.082666521736729,2.7050713722951554,0.44545619583087714,1.1408720531352121
420157,1.9052599740548772,2.553507514099371,0.508283712834264,1.1832315968521983
420162,1.3916137748315627,1.9684390340351299,0.4801322163466964,1.2926533863970997
420198,1.804831762283138,2.46683148597107,0.555669946983764,1.3217902477547065
420261,2.3826017359061993,2.327004553703997,0.5531504543279346,1.4292046987230447
420286,1.9083405503647177,2.087511845388228,0.5630150546213853,1.5672988883579393
420383,1.6564134827285273,1.9265790213638945,0.4677407795447124,1.5163445018964612
420435,1.2028947751669645,1.3401777345019283,0.40206581290382537,1.17998147923201
420454,2.246937255653142,2.3860227691967304,0.5340487136739397,1.125735476938672
420623,2.2840980323620337,2.918258427727342,0.5405369565686375,1.6721637431200242
510050,2.5757571408348836,3.0316423732613034,0.4549616719103423,1.4718954175527494
510226,1.7030919597793024,2.2753169785577274,0.4893046908819027,1.3484226173082892
510259,1.8469265594712483,2.009782293148989,0.6568330379208853,1.513925916329953
510329,1.0175208323911402,1.5048324189610813,0.5550487558400948,1.4000415738621503
510355,2.2166966239719468,2.281754339016283,0.5181045840154904,1.3058108104168469
510480,1.4706418494901505,1.525835577203089,0.4918043591691955,1.4290344686828815
510629,2.4753621898893154,2.745809483494387,0.5022648033759313,1.5441646427649534
510639,2.075476747880622,2.5070052040879913,0.44663600242424545,1.6097016942963318
510648,1.2809326395084693,1.5053617934693124,0.5226443998819765,1.2738398424860975
512003,1.8563170499810908,2.2060861160337684,0.4989231812269188,1.191601671383089
520002,0.767783923253274,1.3130185217370218,0.5201054125294402,1.3490148174955152
520065,1.948021358600396,2.3997344129331175,0.5197425791815958,1.2051366092347608
520097,1.804791693851991,2.0980582502209044,0.5432337650873448,1.1462498568533552
520127,1.5728028812389931,2.1895892383534648,0.5654048561153161,1.1782679537117218
520239,1.9878454965825225,2.6016325261505107,0.4947037348993439,1.4735050784956851
520253,1.9660031151436472,2.499488684054867,0.5633264400768162,1.4078039703850982
520390,1.7245651499357444,2.412571639323051,0.6178694846692594,1.526002119447189
520745,1.7607923760566533,1.8579411671778474,0.5095984355981363,1.3531391940493813
610028,1.7613303136613527,1.8373593281715797,0.5166109422995735,1.3114548093263487
610046,0.6792477038620365,1.1184067406886615,0.5650416380290921,1.2702146867056208
610061,1.0245835061428286,1.2225656750080198,0.5208250115977053,1.2690947768572258
610288,1.6279437767316707,1.8268649396470567,0.5300960302313785,1.5914999159439553
610308,2.0838984430427336,2.1114806325637203,0.534740396680892,1.3972271234628946
610392,1.9769529842572442,2.1849514533521717,0.6269016821366038,1.6089239446365875
610405,0.8516752732835181,1.3135389928683168,0.7111144373852043,1.3435611339938152
610508,0.8858090845216854,1.3731008389192854,0.46559178626358666,1.2465399159108004
620005,1.116146943457865,1.4908090834791838,0.4302624290638288,1.3181351720768981
620106,0.7374669485393045,1.0566175300649572,0.5279230457322095,1.215267004677857
620118,1.204348135124884,1.7092855459185001,0.5434075529049802,1.2328695845016546
620129,1.486919248584585,2.177186808265441,0.5040061677971401,1.36595749421857
620152,1.4428089774105586,1.9306485247783696,0.5624070015953759,1.3372869990327612
620262,1.4533866605699086,1.891546676367892,0.6288432700386479,1.1972352137085367
620496,1.8386773713053068,1.936161020979104,0.6447626610043433,1.6210674251802564
620572,1.2737175390410318,1.7865765877314899,0.5719996541439434,1.4578526340583855
620592,0.9951248556762728,1.117019973407647,0.46023339621194487,1.2122776508355446
620619,1.2169093376358817,1.0506249560049887,0.4854689019527739,1.2974923576059647
620685,1.1081767396091258,1.7649453221174993,0.5487869307229345,1.475291043694535
620885,1.7942670356191364,1.9540360654629083,0.5765801955386858,1.2956972320614915
621128,1.4253926892440785,1.8357798210753018,0.6187916453681883,1.28510777921956
710350,2.0227645066651054,2.1522628200727625,0.5293851083730149,1.2938288480904876
710446,1.6555028778602108,2.099115564109448,0.5440275606203049,1.2768251451240527
710486,1.8673924053115778,1.7529920565265444,0.5523354520706589,1.3634916859700572
710494,1.878438500537996,2.1678280675208548,0.5532327221360736,1.3436263288626997
710982,1.1101870562138476,1.6816969506752562,0.5338719275402414,1.4180165107396394
711035,0.8859852770146679,1.6586078092210184,0.5941590209042402,1.342594482189091
720290,1.2929342743602519,1.7525943015139738,0.5992266594771414,1.3220020001222208
720329,1.210904468554717,1.7484651105494526,0.6175443318024887,1.3102704736255038
720358,1.203334584264619,2.0120802694906685,0.5224563364934504,1.3299975012104384
720511,1.4083860899452247,2.109923064047848,0.5307866930897849,1.2012174685914574
721292,1.2450188986712758,2.0280201876049913,0.509939734018479,1.2553608361088768
721377,1.8542193760732117,1.6819396730720604,0.48077301064257955,1.5799595517853664
721418,1.517106558272681,1.9039817949048556,0.5283533547097451,1.5288297545966265
721519,1.0646897077248132,1.1149768819188959,0.6127993033775483,1.4910736093828947
721707,1.2944242958409748,1.6168207004171702,0.6016539923982944,1.4599187474122786
722891,1.7101540723935096,2.180974922418629,0.5295829723515344,1.5199703335182264
723197,1.3766851102029503,1.5104782923765936,0.677999101090186,1.6672153751478953
