subj_idx,trial,sot
222652,197,693659.388704775
222652,205,725187.64563956
222652,206,728688.827735587
222652,211,744461.259498867
222652,216,760250.50323668
310463,124,435994.3800941
310463,145,511388.153779599
320202,15,60535.8002028846
320202,22,81693.6389684463
320202,48,169608.959573863
320202,66,236333.312044398
320202,72,257374.10960702
320202,99,350324.6287433
320202,110,388872.021680626
320202,111,390639.38166618
320202,113,397658.585267184
320202,121,427486.222732942
320202,145,511633.395810867
320202,154,546679.494410016
320202,179,627292.165565274
320206,61,216297.744301294
320218,111,390404.589871164
320218,114,404425.814608085
320218,115,406193.058747721
320218,127,450009.010858273
320218,165,583158.018713143
320218,180,630474.719344691
320218,185,654967.613111713
320429,42,149717.246926153
320429,97,342636.797229886
320429,109,384685.288211031
320478,43,154937.869482293
320478,87,310877.041338396
320478,190,671806.313500797
320576,22,81642.5633081769
320576,66,236281.015019262
320576,67,238048.288215814
320576,68,239815.590070575
320576,111,390503.298969007
320576,125,443088.034095394
320576,138,488638.25137321
320576,143,504410.431171353
320576,171,604245.52301301
320576,178,623536.320657357
320576,191,676071.077425123
320576,192,677838.378140739
320576,195,686608.174063344
320576,198,698862.540185831
320576,205,725138.582026699
320608,21,78174.3203373239
320608,64,227544.782130438
320608,84,299437.320577311
320608,163,578137.800233277
320608,171,604413.935950297
320608,175,616685.010678634
320608,187,658750.209548959
320608,193,679791.418681887
320687,97,342919.583363134
320687,185,654766.031178186
320687,191,675806.383388791
320759,72,257137.304450006
320759,83,297435.61810711
320759,104,367560.126192036
320759,126,444705.035436633
320759,134,474498.315783823
320759,148,521799.209506292
320759,151,534052.946614143
320759,156,549825.23403224
320759,168,591857.540154649
320759,172,605879.185109415
320759,180,630404.050171701
320759,184,653145.481280689
320759,185,654896.66983793
320759,186,656663.416990858
320759,199,702213.002564852
320759,205,724987.769709254
320759,214,753031.300602334
320870,36,126961.612122109
320870,62,218128.552981879
320870,125,442608.883386423
320904,5,20134.1421543745
321025,18,67488.6068984709
321025,188,663672.527689405
321025,195,686464.167086909
321025,197,693466.682494691
321025,210,739016.710891429
321069,127,450433.731721171
321069,159,560841.719923425
321203,20,74720.4469006813
321203,58,206635.226459861
321431,129,459102.110672756
321431,133,469622.565864075
321431,135,476641.81195756
321431,151,534512.930761094
321431,153,541515.567263742
321431,154,546767.605134875
321431,155,548534.720321615
321431,185,655390.406392049
321595,74,262692.101074424
321595,111,390672.616283724
321595,126,445058.467481103
321595,167,590445.233352938
321595,168,592212.541091002
321595,198,699068.594679192
321976,31,111594.146462179
321976,49,180101.968902853
321976,50,181885.94846851
321976,59,210179.375667461
321976,60,215464.623434959
321976,61,217231.907332997
321976,62,218999.205600992
321976,74,262798.911402103
321976,75,264565.563288836
321976,81,289074.286799185
321976,87,311849.100827321
321976,93,334623.853585977
321976,110,388959.930030235
321976,123,432792.26567804
321976,125,443296.012498224
321976,130,462569.597737894
321976,132,466104.165686723
321976,133,469605.418927325
321976,134,474857.29797117
321976,135,476624.594091132
321976,136,483627.091997963
321976,137,487128.351501097
321976,138,488895.644804774
321976,139,490663.01814145
321976,140,495914.887853466
321976,141,499416.07350206
321976,142,502917.323905063
321976,143,504684.610090863
321976,144,506451.9591771
321976,145,511703.869420323
321976,146,516955.666793107
321976,147,520456.918613133
321976,148,522224.229233308
321976,149,529226.736705638
321976,150,530994.018055797
321976,151,534495.313899853
321976,152,537996.516092095
321976,153,541497.775677724
321976,154,546749.649451742
321976,161,566023.929544737
321976,186,657105.754295278
321976,202,714909.795946682
410084,12,42934.348643368
410084,94,336122.286858787
410084,102,362414.924349511
410084,164,581609.601973175
410086,128,457352.583309321
410086,177,622113.191709724
410086,178,623880.554278553
410284,8,32398.397112261
410284,19,69361.6874535716
410284,75,264449.555008348
410284,106,376622.632529298
410284,142,502818.227805737
412021,48,169475.115690856
412021,71,251905.383790089
412021,148,521871.955463104
412021,168,591981.093528193
412021,188,663790.162050169
412021,195,686581.925776708
420004,35,124076.148734537
420004,75,264594.066951916
420004,160,564269.994680792
420004,182,644832.716298264
420004,190,672892.951918325
420089,74,262340.441497563
420089,75,264107.035645464
420089,76,267608.319960923
420089,77,269359.682201346
420089,123,432419.093121633
420089,124,435920.383004598
420089,133,469232.646259449
420089,135,476236.058155085
420089,177,621622.290438335
420089,178,623389.569406935
420089,187,658419.252723756
420089,197,693448.678406126
420089,203,716207.670704375
420089,204,717974.452223648
420157,5,20116.5447720132
420157,84,299299.875743641
420157,211,744425.774519238
420162,68,239131.378349063
420162,117,414410.62283982
420162,152,537104.875253703
420162,158,558129.213997008
420162,189,664984.979670965
420162,200,707016.211360703
420162,201,708783.512650239
420162,205,724556.069973594
420162,212,745597.419023711
420162,215,754367.317084868
420162,216,759618.596800436
420286,15,60325.2136153181
420286,96,340776.415378118
420286,142,502001.333229128
420286,144,505519.911020063
420286,161,565107.471004985
420286,163,577345.329246449
420286,164,580846.484601357
420286,165,582597.843706063
420286,176,617643.707339736
420286,178,622895.635899774
420286,179,626396.34694431
420286,194,680699.787484359
420286,198,698205.55170971
420286,199,701706.857268095
420383,51,183404.467433728
420383,80,281639.421295609
420383,127,449932.145163964
420383,140,495515.079110157
420383,154,546316.565277405
420383,155,548083.840937367
420383,208,733783.450604307
420435,83,297354.615752827
420435,98,346455.91163078
420435,99,349957.173337938
420435,108,383236.089267994
420435,123,432337.541810969
420435,124,435838.767215062
420435,152,537426.139637254
420435,166,584727.604742939
420435,168,591730.180481162
420435,171,603983.9604559
420435,172,605751.289378121
420435,192,677577.810851605
420435,193,679345.003263929
420454,103,364209.411334696
420454,122,429049.705766422
420454,141,499141.879659438
420454,142,502643.143570058
420454,143,504394.484580376
420454,144,506161.101859512
420454,145,511412.96825685
510226,59,210142.329569837
510226,85,303009.534227499
510226,138,488794.752874725
510259,21,78040.1415437447
510259,30,106133.893468985
510259,36,127191.61214273
510259,44,160537.319204642
510259,52,186913.682718427
510259,53,188681.673930016
510259,65,230763.176723835
510259,71,251820.929614163
510259,73,260574.167666621
510259,74,262341.487481892
510259,75,264108.725503562
510259,76,267610.133733841
510259,89,318428.79755827
510259,90,320196.30074365
510259,101,358760.59488563
510259,104,367530.262453176
510259,110,388554.678991099
510259,111,390321.974721822
510259,123,432387.553815548
510259,126,444642.73952239
510259,127,449893.958658746
510259,128,456896.540556159
510259,129,458663.936820541
510259,138,488474.893872782
510259,142,502496.6669656
510259,143,504264.081516114
510259,144,506031.311369476
510259,146,516535.215883479
510259,147,520036.48938641
510259,148,521803.842729874
510259,152,537559.593264915
510259,160,563835.939045965
510259,161,565603.320610235
510259,162,567354.593554244
510259,169,598865.564369536
510259,174,612920.752677969
510259,176,618173.40057471
510259,177,621673.995369161
510259,178,623441.260500503
510259,180,630443.826556672
510259,181,640931.209089976
510259,182,644432.330125323
510259,183,647933.668955377
510259,190,672476.016399771
510259,195,686514.599170301
510259,196,690015.833013874
510259,198,698769.092537449
510259,199,702270.362905919
510259,200,707522.378032722
510259,201,709289.61412856
510259,214,753105.863783773
510259,215,754873.114860763
510329,48,169433.65859276
510329,51,183488.884741481
510329,64,227355.164234824
510329,69,243143.499020711
510329,86,304482.338266094
510329,118,416640.073486562
510329,193,679434.06213178
510355,15,60432.5694015299
510355,28,100863.94563206
510355,46,164103.635948071
510355,84,299253.497184483
510355,96,341318.054815943
510480,80,281224.067512286
